,iteration,arm,result,total,best_handle_probability,reward
0,0,2,победа,1,0,1
1,1,1,поражение,1,1,0
2,2,3,победа,2,0,1
3,3,2,победа,3,0,1
4,4,2,поражение,3,0,0
5,5,3,победа,4,0,1
6,6,1,поражение,4,1,0
7,7,2,поражение,4,0,0
8,8,3,победа,5,0,1
9,9,2,поражение,5,0,0
10,10,3,победа,6,0,1
11,11,3,победа,7,0,1
12,12,3,победа,8,0,1
13,13,3,победа,9,0,1
14,14,3,победа,10,0,1
15,15,3,победа,11,0,1
16,16,3,поражение,11,0,0
17,17,3,победа,12,0,1
18,18,3,поражение,12,0,0
19,19,3,поражение,12,0,0
20,20,3,победа,13,0,1
21,21,3,поражение,13,0,0
22,22,3,поражение,13,0,0
23,23,3,поражение,13,0,0
24,24,3,поражение,13,0,0
25,25,3,поражение,13,0,0
26,26,3,поражение,13,0,0
27,27,3,победа,14,0,1
28,28,3,победа,15,0,1
29,29,3,поражение,15,0,0
