,iteration,arm,result,total,best_handle_probability,reward
0,0,1,поражение,0,0,0
1,1,1,поражение,0,0,0
2,2,1,поражение,0,0,0
3,3,1,поражение,0,0,0
4,4,1,поражение,0,0,0
5,5,2,поражение,0,0,0
6,6,2,победа,1,0,1
7,7,2,поражение,1,0,0
8,8,2,победа,2,0,1
9,9,2,поражение,2,0,0
10,10,2,победа,3,0,1
11,11,2,победа,4,0,1
12,12,2,поражение,4,0,0
13,13,2,победа,5,0,1
14,14,2,победа,6,0,1
15,15,2,поражение,6,0,0
16,16,2,победа,7,0,1
17,17,2,поражение,7,0,0
18,18,2,поражение,7,0,0
19,19,2,поражение,7,0,0
20,20,2,победа,8,0,1
21,21,2,поражение,8,0,0
22,22,2,победа,9,0,1
23,23,2,победа,10,0,1
24,24,2,поражение,10,0,0
25,25,2,поражение,10,0,0
26,26,2,поражение,10,0,0
27,27,2,поражение,10,0,0
28,28,2,поражение,10,0,0
29,29,2,победа,11,0,1
