,iteration,arm,result,total,best_handle_probability,reward
0,0,1,поражение,0,1,0
1,1,2,поражение,0,0,0
2,2,3,победа,1,0,1
3,3,3,победа,2,0,1
4,4,3,победа,3,0,1
5,5,3,победа,4,0,1
6,6,3,поражение,4,0,0
7,7,3,победа,5,0,1
8,8,3,поражение,5,0,0
9,9,3,поражение,5,0,0
10,10,3,поражение,5,0,0
11,11,3,победа,6,0,1
12,12,3,победа,7,0,1
13,13,3,поражение,7,0,0
14,14,3,победа,8,0,1
15,15,3,поражение,8,0,0
16,16,3,поражение,8,0,0
17,17,3,поражение,8,0,0
18,18,3,победа,9,0,1
19,19,3,поражение,9,0,0
20,20,3,поражение,9,0,0
21,21,3,поражение,9,0,0
22,22,3,поражение,9,0,0
23,23,3,победа,10,0,1
24,24,3,поражение,10,0,0
25,25,3,победа,11,0,1
26,26,3,поражение,11,0,0
27,27,3,победа,12,0,1
28,28,3,поражение,12,0,0
29,29,3,победа,13,0,1
