,iteration,arm,result,total,best_handle_probability,reward
0,0,1,поражение,0,1,0
1,1,2,поражение,0,0,0
2,2,3,победа,1,0,1
3,3,3,победа,2,0,1
4,4,1,поражение,2,1,0
5,5,2,поражение,2,0,0
6,6,3,победа,3,0,1
7,7,3,победа,4,0,1
8,8,3,победа,5,0,1
9,9,3,победа,6,0,1
10,10,3,победа,7,0,1
11,11,3,победа,8,0,1
12,12,3,поражение,8,0,0
13,13,3,поражение,8,0,0
14,14,3,победа,9,0,1
15,15,3,поражение,9,0,0
16,16,3,победа,10,0,1
17,17,3,победа,11,0,1
18,18,3,поражение,11,0,0
19,19,3,поражение,11,0,0
20,20,3,поражение,11,0,0
21,21,3,поражение,11,0,0
22,22,3,победа,12,0,1
23,23,3,поражение,12,0,0
24,24,3,победа,13,0,1
25,25,3,победа,14,0,1
26,26,3,победа,15,0,1
27,27,3,поражение,15,0,0
28,28,3,поражение,15,0,0
29,29,3,поражение,15,0,0
